comp_id,method,node,loop_id
52,java.util.ImmutableCollections$SetN$SetNIterator.next,b8,0
52,java.util.ImmutableCollections$SetN$SetNIterator.next,b9,0
52,java.util.ImmutableCollections$SetN$SetNIterator.next,b10,0
52,java.util.ImmutableCollections$SetN$SetNIterator.next,b11,0
52,java.util.ImmutableCollections$SetN$SetNIterator.next,b12,0
52,java.util.ImmutableCollections$SetN$SetNIterator.next,b13,0
56,java.util.HashMap.putVal,b39,0
56,java.util.HashMap.putVal,b40,0
56,java.util.HashMap.putVal,b42,0
57,java.lang.String.equals,b12,0
57,java.lang.String.equals,b13,0
57,java.lang.String.equals,b14,0
57,java.util.HashMap.putVal,b39,0
57,java.util.HashMap.putVal,b40,0
57,java.util.HashMap.putVal,b42,0
58,java.lang.String.equals,b12,0
58,java.lang.String.equals,b13,0
58,java.lang.String.equals,b14,0
70,java.util.HashMap.resize,b24,2
70,java.util.HashMap.resize,b25,2
70,java.util.HashMap.resize,b49,0
70,java.util.HashMap.resize,b50,0
70,java.util.HashMap.resize,b51,0
70,java.util.HashMap.resize,b52,0
70,java.util.HashMap.resize,b53,0
70,java.util.HashMap.resize,b54,0
70,java.util.HashMap.resize,b56,0
70,java.util.HashMap.resize,b59,0
70,java.util.HashMap.resize,b60,0
70,java.util.HashMap.resize,b61,0
70,java.util.HashMap.resize,b62,0
70,java.util.HashMap.resize,b63,1
70,java.util.HashMap.resize,b64,1
70,java.util.HashMap.resize,b65,1
70,java.util.HashMap.resize,b66,1
70,java.util.HashMap.resize,b67,1
70,java.util.HashMap.resize,b68,1
70,java.util.HashMap.resize,b69,1
70,java.util.HashMap.resize,b70,1
70,java.util.HashMap.resize,b71,1
70,java.util.HashMap.resize,b72,0
70,java.util.HashMap.resize,b73,0
70,java.util.HashMap.resize,b74,0
70,java.util.HashMap.resize,b75,0
70,java.util.HashMap.resize,b76,0
70,java.util.HashMap.resize,b77,0
71,java.util.HashMap.resize,b24,2
71,java.util.HashMap.resize,b25,2
71,java.util.HashMap.resize,b49,0
71,java.util.HashMap.resize,b50,0
71,java.util.HashMap.resize,b51,0
71,java.util.HashMap.resize,b52,0
71,java.util.HashMap.resize,b53,0
71,java.util.HashMap.resize,b54,0
71,java.util.HashMap.resize,b56,0
71,java.util.HashMap.resize,b59,0
71,java.util.HashMap.resize,b60,0
71,java.util.HashMap.resize,b61,0
71,java.util.HashMap.resize,b62,0
71,java.util.HashMap.resize,b63,1
71,java.util.HashMap.resize,b64,1
71,java.util.HashMap.resize,b65,1
71,java.util.HashMap.resize,b66,1
71,java.util.HashMap.resize,b67,1
